"species","decimalLongitude","decimalLatitude"
"Didelphis virginiana",-83.06,41.59
"Didelphis virginiana",-93.101944,16.899444
"Didelphis virginiana",-93.985957,35.525361
"Didelphis virginiana",-88.0197106,44.5191226
"Didelphis virginiana",-96.709,16.6838
"Didelphis virginiana",-96.8817094,16.913245
"Didelphis virginiana",-122.3101,47.6611
"Didelphis virginiana",-89.767493,20.863245
"Didelphis virginiana",-72.8974,41.4246
"Didelphis virginiana",-91.2839568,32.8611279
"Didelphis virginiana",-97.446866,35.20944
"Didelphis virginiana",-99.236119,19.230558
"Didelphis virginiana",-89.217421,19.875555
"Didelphis virginiana",-81.8833,29.5667
"Didelphis virginiana",-94.435306,18.137803
"Didelphis virginiana",-92.9199986,32.5561323
"Didelphis virginiana",-84.3922916,42.8052491
"Didelphis virginiana",-92.0489705,31.0571793
"Didelphis virginiana",-91.4339524,30.3822022
"Didelphis virginiana",-89.636335,35.275681
"Didelphis virginiana",-90.7022,14.7547
"Didelphis virginiana",-72.6097,40.8229
"Didelphis virginiana",-97.449362,35.167535
"Didelphis virginiana",-122.5295,38.054313
"Didelphis virginiana",-92.118889,17.260556
"Didelphis virginiana",-100.091667,25.645556
"Didelphis virginiana",-83.213333,42.314444
"Didelphis virginiana",-85.151389,43.944167
"Didelphis virginiana",-119.713889,34.44
"Didelphis virginiana",-117.2516,34.05583
"Didelphis virginiana",-122.360229,37.479762
"Didelphis virginiana",-71.36028,42.46037
"Didelphis virginiana",-82.80722,29.16778
"Didelphis virginiana",-87.734587,41.971429
"Didelphis virginiana",-82.916667,42.35
"Didelphis virginiana",-95.620877,29.662087
"Didelphis virginiana",-99.1865102,23.8456998
"Didelphis virginiana",-79.416667,43.7
"Didelphis virginiana",-122.4493493,37.7523705
"Didelphis virginiana",-92.4139789,30.7551878
"Didelphis virginiana",-99.30582,22.4366
"Didelphis virginiana",-92.0199668,30.1832071
"Didelphis virginiana",-71.55,41.4667
"Didelphis virginiana",-99.866667,20.068333
"Didelphis virginiana",-99.178721,19.324942
"Didelphis virginiana",-99.702778,19.398611
"Didelphis virginiana",-92.0199669,30.1952068
"Didelphis virginiana",-122.846783,46.43983
"Didelphis virginiana",-96.18654,38.41404
"Didelphis virginiana",-122.009418,39.214334
"Didelphis virginiana",-91.1649434,29.6982252
"Didelphis virginiana",-89.971823,35.021085
"Didelphis virginiana",-97.610552,34.492432
"Didelphis virginiana",-98.730366,18.894206
"Didelphis virginiana",-95.162778,17.865
"Didelphis virginiana",-95.53515,33.811983
"Didelphis virginiana",-96.766667,17.033056
"Didelphis virginiana",-99.151604,39.455265
"Didelphis virginiana",-97.446859,35.204303
"Didelphis virginiana",-83.6128678,42.2410556
"Didelphis virginiana",-98.716667,20.123056
"Didelphis virginiana",-99.089844,38.534714
"Didelphis virginiana",-88.0682941,41.6985995
"Didelphis virginiana",-98.105827,39.456108
"Didelphis virginiana",-105.124802,21.6567
"Didelphis virginiana",-87.5691,33.2106
"Didelphis virginiana",-100.43667,31.245481
"Didelphis virginiana",-104.251111,24.028611
"Didelphis virginiana",-100.083054,19.400833
"Didelphis virginiana",-104.248056,23.3875
"Didelphis virginiana",-87.752098,41.945854
"Didelphis virginiana",-99.804722,16.827222
"Didelphis virginiana",-80.09444,26.93389
"Didelphis virginiana",-96.592078,30.53111
"Didelphis virginiana",-98.580327,34.804822
"Didelphis virginiana",-102.816258,23.1245525
